"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000090104",533.845802332516,4.34012374493413,0.610459972451171,7.10959594534477,1.16383170935232e-12,8.45362093551497e-10
"ENSG00000152766",12.9692501280165,4.31060822589373,0.969549718868137,4.44598986726125,8.74880720603105e-06,0.000313387067986994
"ENSG00000108691",88.1396338149586,4.29377487778042,0.760019118161158,5.64956166914468,1.60857472132012e-08,2.00298192322857e-06
"ENSG00000169385",8.1532568085462,4.2725458955486,0.960665286144328,4.44748650458334,8.68809155442493e-06,0.000311639102958378
"ENSG00000127954",35.3084638385405,4.24601147601417,0.59108291275731,7.18344479999799,6.79764886875588e-13,5.38641576573022e-10
"ENSG00000064886",35.1942734407273,4.20253467637443,0.727775951348127,5.77448961949029,7.71866879284425e-09,1.09100254196802e-06
"ENSG00000170262",5.55072574121545,4.18635141798384,1.11069301762639,3.7691345417209,0.000163814573203983,0.003017029687198
"ENSG00000145113",20.3949430425757,4.17064663483997,1.02977341766658,4.05006243440473,5.12039697768768e-05,0.00127274962518589
"ENSG00000115607",6.9079943361497,4.1024826343035,1.00839967213994,4.06831016277262,4.73553193841017e-05,0.00119989752575085
"ENSG00000171051",146.019720835944,4.09292166885081,0.64271316530407,6.36819329337128,1.91267782768279e-10,5.32070345915715e-08
"ENSG00000278233",263.938558019285,4.06516579311633,0.762977319742946,5.32802966474275,9.92839112718861e-08,8.64964701405212e-06
"ENSG00000172322",4.44517364254857,4.01047519050621,1.06049184733844,3.78171242011098,0.000155753234395218,0.00291027723465448
"ENSG00000289697",30.8662380227225,3.9679403906826,1.08782485673931,3.64759121479928,0.00026471034987962,0.00433705100611837
"ENSG00000244734",3392.58394369546,3.95134052463071,0.614560480115258,6.42953891843103,1.27991587302047e-10,3.93747296042497e-08
"ENSG00000289871",13.9527084018656,3.94496813935479,0.780874518129484,5.05198728830928,4.37236806392954e-07,2.85119831680034e-05
"ENSG00000111319",11.8859865991067,3.93866069312576,0.787902358527598,4.99891979062758,5.76523769386663e-07,3.53885447081968e-05
"ENSG00000214814",90.2996978805751,3.93508896959456,0.938437498483512,4.19323500601111,2.75004285450326e-05,0.000786771013155423
